name,location,category,budget,rating,special,image,distance,lat,lon,moods
Traffic Park,Dharampeth,Park,100,4.1,Kids Learning Park,https://images.unsplash.com/photo-1470770841072-f978cf4d019e,4,21.146,79.061,"Unexpected Friend Meetup, Chill with Coffee"
AIIMS Nagpur,MIHAN,Hospital,500,4.7,24x7 Emergency Service,https://images.unsplash.com/photo-1519494026892-80bbd2d6fd0d,12,21.035,79.02,"Unexpected Friend Meetup, Chill with Coffee"
Wockhardt Hospital,Shankar Nagar,Hospital,700,4.5,Specialist Care Available,https://images.unsplash.com/photo-1586773860418-d37222d8fce3,4,21.126,79.058,"Unexpected Friend Meetup, Chill with Coffee"
Orange City Hospital,Dharampeth,Hospital,600,4.3,Multi Specialty Care,https://images.unsplash.com/photo-1538108149393-fbbd81895907,4,21.144,79.06,"Unexpected Friend Meetup, Chill with Coffee"
Care Hospital,Sitabuldi,Hospital,650,4.2,Advanced Medical Services,https://images.unsplash.com/photo-1516549655169-df83a0774514,3,21.145,79.087,"Unexpected Friend Meetup, Chill with Coffee"
Kingsway Hospital,Sitabuldi,Hospital,800,4.6,Premium Healthcare,https://images.unsplash.com/photo-1576091160399-112ba8d25d1d,3,21.146,79.09,"Unexpected Friend Meetup, Chill with Coffee"
Radisson Blu,Wardha Road,Hotel,2500,4.7,Luxury Stay Offer,https://images.unsplash.com/photo-1566073771259-6a8506099945,7,21.095,79.055,"Unexpected Friend Meetup, Chill with Coffee"
Le Meridien,Wardha Road,Hotel,3000,4.6,Weekend Stay Package,https://images.unsplash.com/photo-1551882547-ff40c63fe5fa,8,21.092,79.052,"Unexpected Friend Meetup, Chill with Coffee"
Tuli Imperial,Ramdaspeth,Hotel,2200,4.4,Business Class Stay,https://images.unsplash.com/photo-1445019980597-93fa8acb246c,4,21.128,79.079,"Unexpected Friend Meetup, Chill with Coffee"
Centre Point Hotel,Ramdaspeth,Hotel,2000,4.3,City Center Location,https://images.unsplash.com/photo-1522708323590-d24dbb6b0267,4,21.129,79.08,"Unexpected Friend Meetup, Chill with Coffee"
Hotel Hardeo,Sitabuldi,Hotel,1800,4.2,Comfort Stay Deal,https://images.unsplash.com/photo-1564501049412-61c2a3083791,3,21.145,79.088,"Unexpected Friend Meetup, Chill with Coffee"
Urban Hermitage,Sadar,Cafe,550,4.6,Cold Brew Festival,https://images.unsplash.com/photo-1509042239860-f550ce710b93,3,21.1625,79.0865,"Unexpected Friend Meetup, Chill with Coffee"
Cafe Coffee Day,Dharampeth,Cafe,400,4.2,Buy 1 Get 1 Coffee,https://images.unsplash.com/photo-1495474472287-4d71bcdd2085,4,21.1455,79.0615,"Unexpected Friend Meetup, Chill with Coffee"
The Coffee House,Civil Lines,Cafe,350,4.3,Special Breakfast Combo,https://images.unsplash.com/photo-1445116572660-236099ec97a0,2,21.152,79.084,"Unexpected Friend Meetup, Chill with Coffee"
Fuel Headquarters,Ramdaspeth,Cafe,750,4.5,Live Music Night,https://images.unsplash.com/photo-1554118811-1e0d58224f24,5,21.1305,79.078,"Unexpected Friend Meetup, Chill with Coffee"
Checkers Restaurant,Sitabuldi,Restaurant,850,4.4,Weekend Buffet,https://images.unsplash.com/photo-1552566626-52f8b828add9,3,21.1465,79.0895,"Unexpected Friend Meetup, Chill with Coffee"
Zuree Urban Kitchen,Civil Lines,Restaurant,1100,4.7,Chef Signature Menu,https://images.unsplash.com/photo-1555396273-367ea4eb4db5,4,21.1515,79.0855,"Unexpected Friend Meetup, Chill with Coffee"
Biryani Inc,Sadar,Restaurant,700,4.5,Special Hyderabadi Biryani,https://images.unsplash.com/photo-1504674900247-0877df9cc836,3,21.1615,79.0865,"Unexpected Friend Meetup, Chill with Coffee"
Pablo The Art Cafe,Dharampeth,Restaurant,900,4.6,Art & Food Festival,https://images.unsplash.com/photo-1517248135467-4c7edcad34c4,4,21.1465,79.0625,"Unexpected Friend Meetup, Chill with Coffee"
Poonam Mall,Sitabuldi,Mall,1000,4.1,Summer Shopping Sale,https://images.unsplash.com/photo-1483985988355-763728e1935b,2,21.1455,79.089,"Unexpected Friend Meetup, Chill with Coffee"
Central Mall,Ramdaspeth,Mall,1300,4.3,Fashion Week Discounts,https://images.unsplash.com/photo-1521334884684-d80222895322,5,21.1285,79.0795,"Unexpected Friend Meetup, Chill with Coffee"
Millennium Mall,Wardha Road,Mall,1500,4.5,Mega Electronics Sale,https://images.unsplash.com/photo-1441986300917-64674bd600d8,8,21.098,79.056,"Unexpected Friend Meetup, Chill with Coffee"
Gorewada Lake,Gorewada,Tourist Attraction,100,4.7,Nature Escape,https://images.unsplash.com/photo-1506744038136-46273834b3fb,9,21.205,79.04,"Unexpected Friend Meetup, Chill with Coffee"
Gorewada Zoo,Gorewada,Tourist Attraction,250,4.6,Wildlife Safari,https://images.unsplash.com/photo-1546182990-dffeafbe841d,9,21.207,79.043,"Unexpected Friend Meetup, Chill with Coffee"
Shukrawari Lake,Mahal,Tourist Attraction,100,4.3,Evening Boating,https://images.unsplash.com/photo-1507525428034-b723cf961d3e,3,21.1455,79.102,"Unexpected Friend Meetup, Chill with Coffee"
Narrow Gauge Rail Museum,Civil Lines,Tourist Attraction,150,4.5,Historic Railway Collection,https://images.unsplash.com/photo-1516321318423-f06f85e504b3,3,21.1505,79.085,"Unexpected Friend Meetup, Chill with Coffee"
Lata Mangeshkar Musical Garden,Surya Nagar,Park,100,4.4,Musical Fountain Show,https://images.unsplash.com/photo-1441974231531-c6227db76b6e,7,21.18,79.05,"Unexpected Friend Meetup, Chill with Coffee"
Children Traffic Park,Dharampeth,Park,100,4.2,Kids Adventure Zone,https://images.unsplash.com/photo-1470770841072-f978cf4d019e,4,21.146,79.063,"Unexpected Friend Meetup, Chill with Coffee"
Suresh Bhat Auditorium,Reshimbagh,Park,100,4.3,Open Green Area,https://images.unsplash.com/photo-1501785888041-af3ef285b470,6,21.136,79.11,"Unexpected Friend Meetup, Chill with Coffee"
Orange City Water Park,Amravati Road,Park,300,4.5,Water Activities,https://images.unsplash.com/photo-1448375240586-882707db888b,10,21.22,79.02,"Unexpected Friend Meetup, Chill with Coffee"
Meditrina Hospital,Ramdaspeth,Hospital,700,4.4,Cardiac Care Center,https://images.unsplash.com/photo-1519494026892-80bbd2d6fd0d,4,21.1295,79.0785,"Unexpected Friend Meetup, Chill with Coffee"
Suretech Hospital,Dharampeth,Hospital,650,4.3,24x7 Medical Service,https://images.unsplash.com/photo-1586773860418-d37222d8fce3,4,21.145,79.061,"Unexpected Friend Meetup, Chill with Coffee"
Alexis Hospital,Mankapur,Hospital,800,4.6,Advanced Healthcare,https://images.unsplash.com/photo-1576091160399-112ba8d25d1d,8,21.19,79.09,"Unexpected Friend Meetup, Chill with Coffee"
Hotel Centre Point,Ramdaspeth,Hotel,2200,4.5,Luxury Stay Package,https://images.unsplash.com/photo-1522708323590-d24dbb6b0267,4,21.129,79.081,"Unexpected Friend Meetup, Chill with Coffee"
Hotel President,Sitabuldi,Hotel,1800,4.2,Business Stay Offer,https://images.unsplash.com/photo-1564501049412-61c2a3083791,3,21.146,79.0885,"Unexpected Friend Meetup, Chill with Coffee"
The Pride Hotel,Wardha Road,Hotel,2800,4.6,Premium Weekend Package,https://images.unsplash.com/photo-1551882547-ff40c63fe5fa,7,21.096,79.054,"Unexpected Friend Meetup, Chill with Coffee"
Treebo Trend Hotel,Civil Lines,Hotel,1500,4.3,Budget Luxury Stay,https://images.unsplash.com/photo-1445019980597-93fa8acb246c,3,21.151,79.0845,"Unexpected Friend Meetup, Chill with Coffee"
chillout cafe,dharampeth,Cafe,800,4.5,best cold coffee,https://images.unsplash.com/photo-1554118811-1e0d58224f24,8,21.1458,79.0882,"Unexpected Friend Meetup, Chill with Coffee & Conversations"
Smaaash Delhi,Delhi,Gaming,1300,4.4,VR Gaming Fest,https://images.unsplash.com/photo-1511512578047-dfb367046420,7
The Beer Cafe,Delhi,Cafe,1700,4.3,Music Night Event,https://images.unsplash.com/photo-1514933651103-005eec06c04b,5
Adventure Island,Delhi,Gaming,1600,4.5,Unlimited Ride Offer,https://images.unsplash.com/photo-1522778119026-d647f0596c20,9
